ImageId,EncodedPixels
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,5759 7 6275 12 6793 14 7311 17 7829 18 8347 20 8380 5 8865 21 8897 8 9384 22 9414 12 9903 23 9931 15 10422 25 10448 18 10941 44 11459 45 11978 46 12497 46 13016 46 13535 47 14054 48 14573 48 15092 49 15611 49 16130 49 16649 26 16677 21 17168 25 17198 19 17687 24 17719 17 18206 24 18238 17 18725 23 18758 17 19244 22 19277 17 19764 20 19797 16 20283 20 20316 17 20801 21 20835 18 21321 20 21354 18 21840 20 21873 19 22360 18 22392 18 22880 17 22911 18 23400 14 23432 15 23920 11 23951 14 24472 11 24994 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,27570 8 28084 16 28602 19 29119 22 29637 24 30155 25 30674 26 31193 26 31710 28 32228 29 32747 28 33266 28 33784 29 34303 29 34822 28 35340 29 35859 27 36378 27 36896 27 37415 27 37934 26 38453 24 38972 23 39491 23 40011 21 40531 18 41051 16 41571 14 42093 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45228 11 45745 16 46261 21 46779 24 47296 27 47814 28 48333 29 48852 29 49371 29 49889 30 50408 31 50927 31 51446 31 51965 31 52483 31 53002 31 53522 30 54041 29 54561 28 55080 27 55600 25 56120 22 56641 18 57163 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,61850 8 62367 13 62884 17 63402 19 63920 22 64438 24 64957 24 65475 25 65993 27 66512 27 67030 28 67549 28 68068 28 68586 30 69105 30 69624 30 70143 31 70662 31 71181 31 71700 31 72219 31 72738 31 73258 30 73777 29 74296 29 74816 27 75335 27 75855 26 76374 26 76894 24 77413 24 77932 24 78452 22 78971 21 79491 19 80011 17 80531 16 81052 12 81573 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84 9 602 11 1121 11 1640 11 2160 10 2680 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91472 1 91988 9 92504 15 93021 19 93539 20 94057 22 94576 24 95095 24 95613 26 96132 27 96651 27 97169 29 97688 29 98207 31 98726 31 99245 31 99763 32 100283 31 100802 32 101321 32 101840 32 102360 32 102880 31 103400 30 103919 30 104439 29 104959 28 105479 27 105999 25 106520 23 107040 22 107560 19 108080 17 108601 13 109122 8 109645 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20907 12 21425 14 21942 18 22460 20 22978 21 23482 37 23998 41 24516 43 25034 45 25552 46 26070 47 26589 47 27107 49 27626 49 28145 49 28664 49 29184 49 29703 49 30222 49 30742 48 31261 48 31781 47 32300 47 32819 47 33339 45 33858 45 34377 44 34896 44 35416 41 35937 35 36456 25 36976 21 37495 20 38016 17 38537 13 39063 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49442 6 49958 11 50474 16 50992 18 51509 21 52027 23 52546 23 53064 24 53582 25 54100 26 54618 27 55137 27 55655 28 56174 28 56693 28 57211 29 57730 28 58249 27 58767 28 59286 27 59805 27 60324 27 60843 26 61362 25 61881 25 62400 24 62920 22 63439 22 63959 21 64478 20 64998 19 65517 17 66037 15 66558 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,126 24 644 27 1163 27 1683 27 2202 26 2722 25 3241 25 3760 25 4280 24 4799 24 5320 21 5839 21 6359 20 6879 19 7400 16 7920 14 8441 10 8963 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,110685 11 111203 17 111721 22 112239 25 112757 28 113276 30 113794 32 114312 35 114831 35 115351 34 115869 36 116388 36 116907 37 117426 37 117945 38 118464 38 118983 38 119503 36 120023 34 120542 33 121062 32 121583 29 122103 26 122624 22 123144 16
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80628 7 81144 12 81662 15 82179 18 82697 20 83216 20 83734 21 84253 22 84772 22 85291 23 85809 24 86328 25 86846 26 87365 26 87883 27 88401 29 88441 6 88917 32 88956 12 89429 40 89471 17 89946 62 90462 67 90980 69 91497 71 92015 73 92533 75 93052 42 93099 29 93571 41 93619 29 94089 41 94139 28 94608 39 94658 28 95127 38 95177 28 95645 38 95696 29 96165 37 96215 29 96684 37 96734 30 97203 37 97254 30 97722 37 97773 30 98241 37 98292 30 98760 36 98812 29 99280 35 99332 28 99800 32 99851 28 100321 30 100371 27 100841 29 100890 27 101360 28 101409 27 101881 26 101929 26 102402 22 102450 24 102923 18 102969 24 103444 14 103489 22 103968 5 104009 20 104530 17 105050 16 105572 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,168 14 686 16 1205 17 1724 18 2243 19 2762 20 3281 20 3801 19 4320 20 4840 19 5360 18 5880 17 6399 17 6919 17 7438 18 7957 18 8476 18 8997 15 9517 14 10036 14 10556 12 11076 11 11597 8 12118 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,56756 2 57271 11 57787 17 58304 20 58822 22 59341 23 59859 24 60377 26 60895 27 61414 27 61933 27 62452 28 62971 28 63489 29 64008 29 64528 27 65047 27 65566 26 66085 25 66605 23 67126 20 67646 17 68166 14 68689 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,34993 8 35509 14 36027 16 36546 17 37064 18 37581 21 38100 21 38618 23 39137 24 39656 24 40175 24 40694 24 41213 24 41731 24 42250 24 42769 23 43288 23 43806 24 44325 23 44844 23 45364 21 45883 21 46403 20 46922 18 47442 15 47963 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,62501 2 63015 11 63534 12 64052 14 64569 18 65087 20 65606 20 66125 20 66644 20 67163 20 67682 21 68200 22 68719 22 69238 23 69757 23 70276 23 70795 23 71314 23 71833 23 72352 23 72871 23 73390 23 73909 22 74428 22 74947 22 75466 21 75985 21 76504 21 77023 21 77542 21 78061 21 78580 21 79099 21 79618 21 80137 21 80656 21 81176 19 81695 18 82214 17 82734 15 83254 14 83774 11 84296 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,227 26 744 30 1263 31 1782 31 2301 31 2820 31 3339 31 3858 31 4377 31 4897 30 5417 29 5937 28 6456 28 6975 28 7495 27 8014 27 8534 26 9054 24 9573 23 10093 21 10612 21 11131 21 11650 20 12169 20 12688 19 13208 16 13729 13 14250 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113912 9 114429 14 114947 16 115465 18 115982 20 116500 22 117019 22 117537 23 118054 26 118572 27 119091 27 119609 28 120126 30 120644 31 121163 31 121682 31 122200 32 122718 34 123236 37 123755 39 124274 43 124793 44 125312 47 125831 48 126350 49 126869 51 127389 50 127909 50 128428 50 128948 49 129468 48 129989 46 130511 43 131038 33
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28788 10 29305 15 29823 17 30342 19 30860 21 31379 22 31898 22 32417 23 32937 23 33456 24 33975 24 34494 24 35014 24 35533 24 36053 23 36572 23 37092 22 37611 22 38130 22 38649 22 39168 21 39688 20 40207 19 40727 17 41249 12 41770 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,83810 6 84326 13 84843 17 85361 20 85879 22 86398 24 86917 24 87436 25 87955 25 88474 26 88993 27 89512 28 90031 28 90550 28 91070 27 91589 27 92109 26 92629 25 93149 23 93668 23 94188 21 94709 18 95229 16 95751 10 96273 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52684 11 53201 15 53717 21 54235 24 54752 28 55270 29 55789 31 56307 33 56825 35 57343 36 57862 36 58381 37 58900 38 59419 38 59938 39 60458 38 60978 36 61498 35 62017 35 62537 33 63056 32 63576 31 64097 29 64617 27 65136 26 65658 21 66179 18 66701 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23648 7 24163 15 24680 19 25197 23 25716 24 26234 26 26752 27 27269 30 27788 31 28307 32 28826 32 29344 33 29863 33 30382 33 30901 33 31420 33 31939 33 32458 33 32977 32 33496 32 34016 30 34535 29 35054 29 35573 28 36092 27 36612 25 37132 23 37652 21 38173 18 38693 14 39219 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,79179 7 79696 12 80213 16 80731 19 81249 21 81768 23 82287 24 82806 24 83325 25 83845 26 84364 27 84884 26 85403 26 85923 25 86442 25 86961 25 87481 24 88000 24 88520 23 89040 22 89560 20 90080 17 90603 10 91127 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112933 2 113448 11 113966 14 114483 18 115001 19 115519 21 116038 23 116557 24 117076 24 117594 26 118113 26 118631 28 119150 29 119669 29 120189 29 120708 29 121227 29 121746 29 122266 28 122785 29 123304 29 123824 28 124345 26 124865 24 125387 21 125907 19 126427 17 126947 15 127465 15 127983 16 128500 19 129018 20 129537 22 130055 23 130574 22 131095 18
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,329 12 845 18 1362 22 1880 24 2398 26 2916 28 3435 29 3953 30 4471 31 4990 31 5508 32 6027 32 6547 31 7067 30 7587 29 8107 27 8627 26 9147 24 9668 20 10187 19 10706 18 11224 19 11742 20 12260 22 12778 24 13297 25 13815 27 14334 28 14853 28 15371 30 15890 30 16408 31 16927 31 17446 31 17965 31 18484 31 19004 30 19523 30 20042 30 20562 28 21081 28 21600 28 22120 25 22640 24 23160 22 23680 21 24199 20 24720 17 25241 13 25762 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,70921 11 71437 16 71955 19 72472 22 72990 24 73508 25 74026 27 74543 30 75062 31 75580 32 76098 33 76616 34 77134 35 77653 35 78171 36 78690 36 79209 36 79728 35 80247 34 80766 34 81285 33 81804 33 82323 32 82842 32 83361 31 83880 29 84399 29 84918 28 85438 25 85958 22 86479 18 86999 15 87523 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,99990 7 100507 11 101023 16 101541 18 102058 20 102577 21 103096 23 103615 23 104133 25 104652 25 105171 25 105690 25 106209 25 106728 25 107247 25 107766 24 108285 24 108804 24 109323 23 109842 22 110360 22 110880 21 111399 21 111918 21 112437 20 112957 19 113477 16 113998 13 114519 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,40306 12 40822 18 41339 22 41857 25 42375 27 42893 29 43411 31 43930 32 44449 32 44968 32 45487 32 46006 32 46525 32 47043 33 47562 33 48081 33 48601 32 49120 31 49639 30 50159 28 50680 25 51200 22 51723 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,125445 6 125961 11 126479 12 126997 14 127514 17 128032 19 128551 19 129070 19 129588 20 130107 20 130627 18 131147 15
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,10241 9 10757 14 11274 17 11792 20 12310 21 12828 22 13346 23 13864 24 14383 24 14902 24 15420 25 15937 27 16456 28 16974 29 17493 28 18012 28 18531 28 19050 28 19569 28 20088 28 20607 27 21126 27 21645 25 22164 25 22683 24 23202 24 23722 22 24243 18 24763 16 25284 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89663 7 90180 12 90697 16 91215 18 91733 21 92252 21 92770 23 93289 23 93808 23 94326 24 94845 25 95364 25 95883 25 96402 25 96922 25 97440 25 97959 25 98475 28 98987 35 99504 36 100022 37 100540 38 101058 39 101576 39 102094 40 102613 39 103132 36 103651 33 104169 26 104688 25 105207 24 105726 23 106245 22 106764 22 107283 21 107801 22 108320 22 108839 21 109358 21 109877 20 110395 20 110914 20 111433 20 111952 19 112470 20 112989 20 113508 20 114028 18 114547 16 115068 13 115588 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,399 23 916 26 1434 27 1953 27 2472 27 2990 28 3509 28 4029 27 4549 26 5069 25 5588 24 6108 23 6630 19 7150 17 7672 13 8194 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46603 10 47120 14 47636 19 48154 21 48671 25 49189 27 49707 29 50226 29 50744 30 51263 31 51782 31 52301 31 52820 32 53339 32 53858 32 54378 30 54897 30 55416 29 55936 28 56456 25 56977 21 57498 17 58025 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,114076 7 114592 12 115110 15 115628 16 116147 17 116665 18 117183 19 117701 20 118220 20 118739 20 119257 20 119776 20 120295 20 120814 20 121333 20 121851 20 122369 21 122887 22 123406 21 123925 21 124444 20 124962 21 125481 21 126000 21 126519 20 127038 20 127557 20 128075 20 128594 19 129113 19 129632 18 130152 16 130671 14 131193 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,20138 11 20655 15 21172 19 21690 21 22208 23 22727 24 23246 24 23764 26 24282 27 24801 27 25319 28 25838 28 26356 29 26875 29 27394 29 27913 29 28432 29 28950 29 29469 29 29988 29 30507 29 31025 30 31544 29 32063 28 32583 26 33102 26 33622 24 34141 22 34661 20 35180 19 35700 16 36222 10 36744 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,66352 11 66868 21 67384 27 67902 30 68420 32 68939 32 69458 33 69977 33 70496 33 71015 33 71534 33 72053 33 72572 33 73092 31 73613 29 74133 28 74653 26 75175 20 75698 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,127594 15 128111 21 128628 26 129146 28 129663 31 130182 31 130701 30 131223 24
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,109437 8 109953 14 110471 16 110989 19 111507 22 112025 23 112544 23 113063 24 113581 26 114101 26 114620 27 115140 26 115660 25 116179 25 116699 24 117218 25 117737 25 118257 24 118777 23 119297 22 119817 22 120337 20 120858 18 121378 17 121897 17 122418 15 122938 13 123461 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,448 23 966 25 1485 26 2004 26 2523 25 3042 25 3562 24 4081 24 4600 24 5121 21 5640 21 6160 20 6679 19 7199 17 7719 14 8240 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80917 6 81432 15 81950 17 82468 21 82986 23 83505 24 84023 26 84542 27 85061 28 85580 30 86099 32 86618 33 87138 34 87658 34 88178 34 88697 35 89217 35 89736 36 90256 35 90777 33 91296 33 91815 32 92335 30 92853 30 93372 28 93890 26 94408 26 94924 27 95429 40 95945 43 96463 44 96982 44 97501 44 98020 44 98540 42 99060 41 99580 40 100101 37 100622 33 101142 31 101663 27 102185 22 102708 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25381 9 25896 17 26413 21 26931 23 26965 4 27448 44 27967 46 28485 48 29004 49 29522 51 30040 52 30558 53 31077 54 31595 55 32114 55 32633 54 33152 55 33671 55 34190 54 34709 54 35228 54 35747 55 36266 54 36785 54 37304 54 37823 54 38343 52 38862 52 39383 50 39903 48 40423 46 40945 11 40960 27 41481 23 42003 18 42526 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,51359 1 51873 11 52390 14 52908 16 53426 17 53945 18 54464 18 54984 18 55503 18 56024 16 56543 17 57062 17 57581 17 58101 16 58620 16 59139 16 59658 16 60177 17 60696 16 61215 16 61734 17 62254 16 62774 15 63294 14 63813 14 64332 13 64852 11 65373 8 65894 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,500 16 1018 19 1537 19 2056 19 2576 17 3096 15 3617 10 4142 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47224 4 47741 7 48260 7 48778 9 49297 9 49815 10 50334 9 50854 8 51373 8 51894 4
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,1537 4 1569 10 1793 5 1823 14 2049 6 2079 16 2305 7 2334 18 2561 8 2575 8 2589 20 2817 8 2829 11 2845 21 3073 10 3084 14 3101 22 3329 26 3357 22 3585 51 3841 52 4097 52 4353 52 4609 53 4865 53 5121 53 5377 53 5633 52 5889 52 6145 52 6402 50 6659 49 6916 47 7176 41 7433 38 7690 20 7711 13 7947 16 8205 12 8465 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,12290 3 12545 5 12801 6 13057 7 13313 8 13569 9 13825 10 14081 10 14337 10 14593 10 14849 11 15105 11 15361 11 15617 11 15873 11 16129 12 16385 12 16641 12 16897 12 17153 11 17409 11 17665 10 17921 10 18177 10 18433 10 18689 10 18945 9 19201 9 19457 8 19713 7 19970 4 20227 1
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,33026 3 33281 5 33537 6 33793 7 34049 7 34305 8 34561 8 34817 8 35073 8 35329 8 35585 8 35841 8 36097 8 36353 8 36609 8 36865 8 37121 8 37377 8 37633 7 37889 7 38145 6 38402 4 38659 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,43010 4 43265 7 43521 8 43777 10 44033 10 44289 11 44545 12 44801 12 45057 12 45314 10 45570 9
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,49666 4 49921 7 50177 9 50433 10 50689 10 50945 11 51201 14 51458 21 51714 22 51970 21 52226 20 52482 19 52737 20 52993 19 53249 19 53505 19 53761 18 54017 18 54273 17 54529 17 54785 16 55041 16 55297 14 55553 8 55809 7 56065 7 56321 7 56577 7 56833 6 57089 6 57345 6 57601 5 57857 5 58113 5 58369 5 58625 5 58881 5 59137 6 59393 6 59649 6 59905 6 60161 6 60417 6 60673 6 60929 6 61185 6 61441 6 61697 7 61953 7 62209 7 62465 7 62721 7 62977 6 63233 6 63489 6 63745 6 64001 6 64257 6 64513 6 64769 5 65025 4 65283 1
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,36392 4 36646 9 36901 13 37157 14 37412 16 37668 19 37694 7 37923 22 37947 12 38179 37 38422 4 38434 17 38454 18 38675 10 38690 16 38711 18 38930 13 38945 17 38968 17 39185 32 39224 17 39440 33 39479 19 39695 34 39735 19 39951 33 39991 19 40206 34 40247 19 40462 33 40502 21 40717 33 40757 22 40973 32 41013 21 41229 31 41269 21 41485 30 41525 21 41741 29 41780 22 41997 28 42036 22 42253 27 42292 21 42509 27 42549 19 42766 26 42805 18 43022 25 43061 17 43279 24 43318 15 43536 22 43575 13 43792 21 43832 10 44049 19 44090 6 44306 17 44563 14 44820 12 45078 9 45336 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,51741 11 51995 15 52251 16 52507 16 52762 18 53018 19 53274 19 53530 19 53785 21 54041 21 54296 23 54552 23 54808 25 55064 27 55320 28 55576 29 55832 29 56089 29 56346 28 56603 27 56860 26 57118 24 57375 23 57632 22 57889 22 58145 22 58401 22 58657 23 58913 24 59169 24 59425 24 59681 25 59937 26 60192 27 60448 27 60704 27 60960 26 61216 26 61471 26 61727 26 61983 26 62239 26 62495 25 62751 24 63007 23 63263 23 63519 24 63775 24 64031 27 64060 2 64286 36 64543 39 64799 40 65055 41 65312 39
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,9766 6 10020 10 10274 13 10529 16 10784 18 11039 19 11295 20 11550 21 11804 23 12060 24 12315 25 12571 25 12826 27 13082 27 13339 26 13594 26 13850 26 14106 26 14361 27 14617 26 14873 26 15130 25 15387 24 15644 22 15902 19 16159 17 16416 14 16673 12 16930 9 17190 1
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,28706 7 28961 9 29216 11 29471 13 29727 13 29983 14 30239 14 30495 14 30751 15 31007 15 31263 15 31519 16 31776 15 32032 15 32289 14 32545 13 32802 11 33059 9
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,46131 5 46385 10 46639 14 46894 16 47148 19 47403 20 47658 22 47913 23 48169 23 48425 23 48680 24 48936 23 49193 22 49449 22 49705 22 49962 21 50218 21 50475 20 50731 20 50988 19 51245 17 51501 17 51758 16 52016 14 52274 11 52532 9 52790 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,20017 1 20270 8 20525 11 20780 13 21036 13 21291 14 21547 14 21803 14 22059 14 22315 14 22571 14 22828 13 23085 12 23341 12 23598 10 23855 7
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,25668 3 25922 8 26177 11 26433 12 26688 13 26944 14 27199 16 27455 16 27711 16 27967 16 28223 16 28479 16 28735 16 28991 16 29247 16 29504 14 29760 13 30017 11
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,26741 10 26996 14 27251 17 27506 19 27761 22 28017 22 28272 24 28528 24 28783 25 29039 25 29295 25 29551 25 29807 24 30064 23 30320 22 30577 20 30833 19 31090 18 31347 15 31605 12 31863 7 32121 2
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,4472 4 4726 9 4981 12 5236 15 5491 16 5747 18 6002 19 6258 20 6514 20 6770 21 7026 21 7282 21 7538 21 7794 21 8050 21 8307 20 8563 20 8819 20 9076 18 9332 18 9589 17 9846 15 10103 13 10361 10 10620 5
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,19598 1 19851 8 20104 14 20358 17 20614 18 20869 20 21125 21 21380 22 21636 23 21891 24 22147 24 22402 25 22658 25 22914 25 23170 25 23426 24 23683 23 23939 22 24196 20 24453 18 24711 15 24968 12
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,2190 7 2445 10 2701 11 2956 13 3212 14 3467 16 3723 17 3979 18 4235 19 4491 20 4747 21 5004 21 5260 22 5517 22 5773 23 6030 22 6286 23 6543 22 6800 21 7057 20 7314 19 7572 17 7830 14 8088 12 8346 9 8604 6 8861 4 9117 13 9373 15 9629 17 9885 18 10140 21 10395 22 10651 23 10907 23 11162 25 11409 7 11417 26 11663 36 11918 37 12173 38 12429 38 12685 38 12940 38 13196 37 13452 37 13708 36 13964 34 14219 31 14475 24 14731 23 14987 23 15244 22 15500 21 15757 20 16014 18 16272 15 16537 3
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,152 17 407 19 663 20 920 19 1176 18 1433 16 1690 14 1948 11
0a849e0eb15faa8a6d7329c3dd66aabe9a294cccb52ed30a90c8ca99092ae732,29354 5 29608 9 29863 12 30118 14 30374 16 30629 18 30885 18 31141 19 31396 21 31652 21 31908 22 32164 22 32420 22 32676 23 32932 23 33188 23 33444 23 33700 23 33957 21 34213 21 34470 19 34726 19 34983 17 35240 14 35498 11 35756 7
